Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.9389E-18,5.5511E-17,0.079281,0,0,0,3.5364,0.022721,5.9967E-19,2.4386E-18,0.029708,9.958E-20,0.021937,0,0,0,0,0,0,package://gripper3/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gripper3/meshes/base_link.STL,,外壳-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-1.7347E-17,0,0.023558,0,0,0,0.15573,0.00013315,-1.0547E-20,-1.3154E-19,0.00018543,-1.5013E-20,0.00021094,0,0,0,0,0,0,package://gripper3/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://gripper3/meshes/link1.STL,,末端执行器-1/机械爪基座-1,坐标系1,基准轴1,joint1,prismatic,0,0,0.14917,0,0,0,base_link,0,0,-1,100,1000,0,0,,,,,,,,
link2,0.083543,0.044291,-0.03,0,0,0,0.25411,0.00069675,-0.00055583,3.2874E-20,0.00070744,3.5255E-20,0.0013349,0,0,0,0,0,0,package://gripper3/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://gripper3/meshes/link2.STL,,末端执行器-1/机械finger-1,坐标系2,基准轴2,joint2,revolute,0.02322,-0.03,0.04,1.5708,0,0,link1,0,0,1,100,3.14,0,1.57,,,,,,,,
link3,0.083543,0.044291,0.03,0,0,0,0.25411,0.00069675,-0.00055583,4.8634E-20,0.00070744,1.6039E-20,0.0013349,0,0,0,0,0,0,package://gripper3/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://gripper3/meshes/link3.STL,,末端执行器-1/机械finger-2,坐标系3,基准轴3,joint3,revolute,-0.02322,-0.03,0.04,1.5708,0,3.1416,link1,0,0,-1,100,3.14,0,1.57,,,,,,,,
