Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link24,1.24999999986855,-2.06468386831915E-09,0.159999999994666,0,0,0,28.8272244227313,0.116404414329493,-1.44868487670242E-09,-0.00224063115283688,8.14424388581765,-1.14351927926748E-09,8.10849536292045,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link24.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link24.STL,,机械臂2^救援卫星-1/关节5-1;机械臂2^救援卫星-1/连杆2-1;机械臂2^救援卫星-1/关节6-1,frame24,2joint4,joint24,revolute,2.5,0,0.32,0,0,0,link23,0,0,1,10000,10000,-6.29,6.29,,,,,,,,
link25,-3.6305973161177E-07,0.0293818575180548,-0.11538671545813,0,0,0,6.05604801044194,0.0427083348601437,2.51541833821263E-07,-4.00423332188971E-07,0.0307251610971738,0.00260020937854203,0.0321839742649581,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link25.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link25.STL,,机械臂2^救援卫星-1/关节7-1,frame25,2joint5,joint25,revolute,2.5,0,0.319999999999995,3.14159265358979,0,0,link24,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
link26,-1.08613895655196E-09,0.152146137684404,-0.134504938606191,0,0,0,9.50180783986661,0.134537923751239,2.31388721159875E-09,-2.70478187763823E-09,0.0462078073016141,0.00112031558358871,0.116663662311257,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link26.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link26.STL,,机械臂2^救援卫星-1/关节8-1;机械臂2^救援卫星-1/连杆3-1,frame26,2joint6,joint26,revolute,0,0.157000000000008,-0.129999999999994,1.5707963267949,1.5707963267949,0,link25,0,0,1,0,0,-6.29,6.29,,,,,,,,
link27,-4.55191440096314E-15,-8.65973959207622E-15,0.0195091582250573,0,0,0,0.647217804415177,0.00367669165554125,1.56125112837913E-17,-1.77026823539441E-20,0.00367669165554128,-2.44435681975225E-18,0.00720862116414547,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link27.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link27.STL,,机械臂2^救援卫星-1/末端基座-1;机械臂2^救援卫星-1/摄像头-支架-1/摄像头支架-1,frame27,2joint7,joint27,revolute,0,0.599999999999998,-0.153,1.5707963267949,0,-3.14159265358979,link26,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
wei_pen_guan,-8.22052237227863E-17,6.42913924102885E-18,-0.163004078996314,0,0,0,1.6357458859783,0.0222430877220275,-2.08166817117217E-17,-3.65601506286931E-18,0.0222430877220274,-2.7451088757104E-18,0.0205306390827465,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/wei_pen_guan.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/wei_pen_guan.STL,,尾喷管-1,frame_wpg,joint_wpg,joint_wpg,fixed,0,0,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
dui_jie_huan,1.40215559781522E-16,-4.57868499313872E-16,-0.0562234950584007,0,0,0,2.41684482132549,0.283901925954555,9.43689570931383E-16,2.89530907409896E-17,0.283901925954555,3.24895864113793E-17,0.563795087041623,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/dui_jie_huan.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/dui_jie_huan.STL,,星箭对接环_环形-1,frame_djh,joint_djh,joint_djh,fixed,0,0,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
wai_ke,0.46064,-1.05,-0.25,0,0,0,25.12,15.189,-5.5511E-17,6.1141E-16,1.2206,-4.1385E-15,15.363,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/wai_ke.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/wai_ke.STL,,救援卫星顶盖-1,frame_waike,joint_waike,joint_waike,fixed,-1.05,3.6,-1.18,1.5707963267949,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
lian_gan,-1.2582E-09,-1.0557E-08,-1.05,0,0,0,0.67671,0.18662,-1.544E-16,1.8507E-07,0.41703,3.1859E-11,0.23091,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/lian_gan.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/lian_gan.STL,,1卫星本体-帆板连接件-2;1卫星本体-帆板连接件2-3;1卫星本体-帆板连接件-1;1卫星本体-帆板连接件2-4,frame_lian_gan,joint_lian_gan,joint_liangan,fixed,-1.05,1.8,0,3.14159263251637,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
fan_ban,-2.87705080756888,-0.0187570515069699,-1.145,0,0,0,46.8038588642526,20.5342480878624,0.000564259354861095,2.93098878501041E-14,65.789776932767,5.40345300574886E-15,45.260486980207,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/fan_ban.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/fan_ban.STL,,1太阳帆板-5;1太阳帆板-4;1太阳帆板-3;1太阳帆板-10;1太阳帆板-9;1太阳帆板-8;1太阳帆板-7;1太阳帆板-6,frame_fanban,joint_fanban,joint_fanban,fixed,-2.8771,1.8,-1.145,3.1416,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
tian_xian,1.24,5.5511E-17,-0.3,0,0,0,49.229,19.196,-2.2134E-18,-2.6645E-15,38.597,3.1895E-18,19.421,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/tian_xian.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/tian_xian.STL,,天线-1;天线-2,frame_tian_xian,joint_tian_xian,joint_tian_xian,fixed,-0.3,0.4,-1.24,1.5708,-1.5708,-2.988,base_link,0,0,0,,,,,,,,,,,,
